"No.","VSL","Service","PORT","VOY","COORD","WEEK","Dep Slot","Arr. Slot","Container","Type","Status","Restow Track","Account","POL","POD","Weight","Line","Stow","Temp C","Imo code","UN","OWR","OWL","OH","OLF ","OLA"," REMARKS"
"11","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","20386","100686","MRKU2912921","40HC","FCL","REF PLU","MSK","MVD","SSZ","14.6","MSK","","","","","","","","","",""
"12","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","20486","100586","PONU7613490","40HC","FCL","REF PLU","MSK","MVD","SSZ","15.1","MSK","","","","","","","","","",""
"13","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","20584","100786","MRKU2912372","40HC","FCL","REF PLU","MSK","MVD","SSZ","14","MSK","","","","","","","","","",""
"14","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","20586","100486","MRKU3040680","40HC","FCL","REF PLU","MSK","MVD","SSZ","14.8","MSK","","","","","","","","","",""
"15","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","20684","340082","MSKU8957313","40HC","FCL","STO IMO","MSK","BRV","MVD","10.6","MSK","","","1.4, 1.4","","","","","","",""
"16","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","20686","100386","TCNU8157440","40HC","FCL","REF PLU","MSK","MVD","SSZ","14.5","MSK","","","","","","","","","",""
"17","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","20884","100886","SEAU8500290","40HC","FCL","REF PLU","MSK","MVD","SSZ","15.6","MSK","","","","","","","","","",""
"18","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","100588","180082","PONU1294517","40DC","FCL","REF PLU","MSK","RGR","ALR","9.199999999999999","MSK","","","","","","","","","",""
"19","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","140088","180282","MSKU1958663","40HC","FCL","REF PLU","MSK","RGR","ALR","25","SCM","","","","","","","","","",""
"20","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","180386","180386","MWMU6443634","40RF","FCL","STO DCH","MSK","MVD","SSZ","4.3","MSK","","-18.0°C","","","","","","","",""
"21","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","300706","300904","MWMU6418890","40RF","FCL","STO EQT","MSK","MVD","BRV","32.6","MSK","","-18.0°C","","","","","","","",""
"22","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","300806","301004","MWCU6109946","40RF","FCL","STO EQT","MSK","MVD","BRV","32.2","MSK","","-18.0°C","","","","","","","",""
"23","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","300382","180384","MSWU9079445","40RF","FCL","STO DCH","MSK","MVD","SSZ","31.1","MSK",""," +4.0°C","","","","","","","",""
"24","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","300482","180382","MWCU6241799","40RF","FCL","STO DCH","MSK","MVD","SSZ","32.6","MSK","","-18.0°C","","","","","","","",""
"25","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","300682","180482","MMAU1043167","40RF","FCL","STO DCH","MSK","MVD","SSZ","30.7","MSK",""," +4.0°C","","","","","","","",""
"26","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","300882","180484","MMAU1141013","40RF","FCL","STO DCH","MSK","MVD","SSZ","30.3","MSK",""," +4.0°C","","","","","","","",""
"27","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","301082","180486","MWCU6870873","40RF","FCL","STO DCH","MSK","MVD","SSZ","32.8","MSK","","-18.0°C","","","","","","","",""
"28","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340712","20684","MSKU1688439","40HC","FCL","STO LUD","MSK","RGR","ALR","24.9","SCM","","","","","","","","","",""
"29","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340912","20884","MSKU1022490","40HC","FCL","STO LUD","MSK","RGR","ALR","25","SCM","","","","","","","","","",""
"30","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","341012","20584","MRKU2043366","40HC","FCL","STO LUD","MSK","RGR","ALR","25","SCM","","","","","","","","","",""
"31","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340382","340882","PONU4861297","40RF","FCL","STO LUD","MSK","MVD","ALR","33.5","SCM","","-18.0°C","","","","","","","",""
"32","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340384","341284","PONU4877312","40RF","FCL","STO LUD","MSK","MVD","ALR","31","MSK","","-18.0°C","","","","","","","",""
"33","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340386","340582","MWCU6809451","40RF","FCL","STO LUD","MSK","MVD","ALR","26.7","MSK",""," -1.0°C","","","","","","","",""
"34","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340482","341082","MSWU9028670","40RF","FCL","STO LUD","MSK","MVD","ALR","33.3","MSK","","-18.0°C","","","","","","","",""
"35","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340484","340686","MWCU6581422","40HR","FCL","STO LUD","MSK","RGR","ALR","31","MSK","WCR","-18.0°C","","","","","","","",""
"36","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340486","340382","MWCU6054632","40RF","FCL","STO LUD","MSK","MVD","ALR","31.9","MSK",""," -1.5°C","","","","","","","",""
"37","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340582","340482","PONU4806915","40RF","FCL","STO LUD","MSK","MVD","ALR","33.3","MSK","","-20.0°C","","","","","","","",""
"38","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340584","341084","PONU4949346","40RF","FCL","STO LUD","MSK","MVD","ALR","30.9","MSK","","-18.0°C","","","","","","","",""
"39","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340586","340584","MWCU6526277","40RF","FCL","STO LUD","MSK","MVD","ALR","26.5","MSK",""," -1.5°C","","","","","","","",""
"40","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340682","340484","PONU4935928","40RF","FCL","STO LUD","MSK","MVD","ALR","33.2","MSK","","-20.0°C","","","","","","","",""
"41","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340684","340886","MSWU0009555","40HR","FCL","STO LUD","MSK","RGR","ALR","30.8","MSK","WCR","-18.0°C","","","","","","","",""
"42","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340686","340984","MWCU6116122","40RF","FCL","STO LUD","MSK","MVD","ALR","26.5","MSK",""," -1.5°C","","","","","","","",""
"43","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340782","340682","MWCU6713030","40RF","FCL","STO LUD","MSK","MVD","ALR","33.2","MSK","","-20.0°C","","","","","","","",""
"44","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340784","340384","PONU4818623","40RF","FCL","STO LUD","MSK","MVD","ALR","30.4","MSK",""," -1.1°C","","","","","","","",""
"45","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340786","340784","MNBU3109616","40RF","FCL","STO LUD","MSK","MVD","ALR","23.6","MSK",""," -1.0°C","","","","","","","",""
"46","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340882","340386","MWCU6576200","40HR","FCL","STO LUD","MSK","MVD","ALR","33.1","MSK",""," -1.5°C","","","","","","","",""
"47","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340884","340884","PONU4952885","40RF","FCL","STO LUD","MSK","MVD","ALR","29.2","MSK","","-18.0°C","","","","","","","",""
"48","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340886","341182","MWCU6858707","40RF","FCL","STO LUD","MSK","MVD","ALR","25.9","MSK",""," -1.0°C","","","","","","","",""
"49","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340982","341282","TRLU1866168","40RF","FCL","STO LUD","MSK","MVD","ALR","32.7","MSK","","-20.0°C","","","","","","","",""
"50","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340984","340684","TRLU1882050","40RF","FCL","STO LUD","MSK","MVD","ALR","28.9","MSK","","-18.0°C","","","","","","","",""
"51","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340986","340782","MSWU0003304","40RF","FCL","STO LUD","MSK","MVD","ALR","22.3","MSK",""," -1.0°C","","","","","","","",""
"52","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","341082","340586","MNBU3084544","40HR","FCL","STO LUD","MSK","RGR","ALR","32.4","MSK","","-18.0°C","","","","","","","",""
"53","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","341084","340982","MSWU9094075","40RF","FCL","STO LUD","MSK","MVD","ALR","27.6","MSK",""," -1.0°C","","","","","","","",""
"54","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","341086","341186","PONU4995125","40HR","FCL","STO LUD","MSK","MVD","ALR","22.3","MSK",""," -1.0°C","","","","","","","",""
"55","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","341182","340786","PONU4969105","40HR","FCL","STO LUD","MSK","RGR","ALR","32.3","MSK","","-18.0°C","","","","","","","",""
"56","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","341184","341086","MSWU0083167","40HR","FCL","STO LUD","MSK","MVD","ALR","27.2","MSK",""," -1.1°C","","","","","","","",""
"57","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","341186","180182","PONU7992217","40HC","FCL","REF PLU","MSK","RGR","ALR","18.5","SCM","","","","","","","","","",""
"58","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","341282","340986","MWCU6197588","40HR","FCL","STO LUD","MSK","MVD","ALR","32","MSK","","-20.0°C","","","","","","","",""
"59","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","341284","341286","MWCU6642003","40HR","FCL","STO LUD","MSK","MVD","ALR","27","MSK",""," -1.1°C","","","","","","","",""
"60","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","341286","341184","MWMU6406693","40RF","FCL","STO LUD","MSK","MVD","ALR","18.9","MSK","","-20.0°C","","","","","","","",""
"61","25B MAERSK NIAGARA","84K ECUBEX","ZWQ","1204","RRB003","11","60784","60110","MRKU3289185","40HC","FCL","STO LUD","MSK","GUQ","BRV","20.1","MSK","","","","","","","","","",""
"62","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60184","261284","MWCU6843456","40WC","MTY","MTY COD","MSK","ALR","MVD","4.7","MSK","","","","","","","","","",""
"63","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60186","261288","MSWU9044290","40WC","MTY","MTY COD","MSK","ALR","MVD","4.6","MSK","","","","","","","","","",""
"64","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60284","420284","MWCU6829740","40WC","MTY","MTY COD","MSK","ALR","MVD","4.7","MSK","","","","","","","","","",""
"65","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60286","261182","MSWU0030980","40WC","MTY","MTY COD","MSK","ALR","MVD","4.5","MSK","","","","","","","","","",""
"66","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60384","261184","MWCU6557529","40WC","MTY","MTY COD","MSK","ALR","MVD","4.7","MSK","","","","","","","","","",""
"67","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60386","420888","MWCU7000883","40WC","MTY","MTY COD","MSK","ALR","MVD","4.4","MSK","","","","","","","","","",""
"68","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60484","261090","MWCU6295049","40WC","MTY","MTY COD","MSK","ALR","MVD","4.7","MSK","","","","","","","","","",""
"69","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60486","141184","MWCU6982180","40WC","MTY","MTY COD","MSK","ALR","MVD","4.4","MSK","","","","","","","","","",""
"70","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60582","260488","PONU4821289","40HR","MTY","MTY COD","MSK","ALR","MVD","4.9","MSK","","","","","","","","","",""
"71","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60584","260888","MSWU9080805","40WC","MTY","MTY COD","MSK","ALR","MVD","4.7","MSK","","","","","","","","","",""
"72","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60586","420588","MSWU0081992","40WC","MTY","MTY COD","MSK","ALR","MVD","4.4","MSK","","","","","","","","","",""
"73","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60682","420188","PONU4722286","40HR","MTY","MTY COD","MSK","ALR","MVD","4.9","MSK","","","","","","","","","",""
"74","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60684","141284","MWMU6428917","40WC","MTY","MTY COD","MSK","ALR","MVD","4.6","MSK","","","","","","","","","",""
"75","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60686","420886","MSWU0056080","40WC","MTY","MTY COD","MSK","ALR","MVD","4.4","MSK","","","","","","","","","",""
"76","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60782","141188","PONU4963909","40HR","MTY","MTY COD","MSK","ALR","MVD","4.8","MSK","","","","","","","","","",""
"77","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60784","260788","MWMU6394838","40WC","MTY","MTY COD","MSK","ALR","MVD","4.6","MSK","","","","","","","","","",""
"78","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60882","141088","PONU4930675","40HR","MTY","MTY COD","MSK","ALR","MVD","4.8","MSK","","","","","","","","","",""
"79","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60884","420184","MWCU6673323","40WC","MTY","MTY COD","MSK","ALR","MVD","4.6","MSK","","","","","","","","","",""
"80","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60982","260688","MWCU6951234","40WC","MTY","MTY COD","MSK","ALR","MVD","4.7","MSK","","","","","","","","","",""
"81","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60984","141182","MWCU6645110","40WC","MTY","MTY COD","MSK","ALR","MVD","4.6","MSK","","","","","","","","","",""
"82","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","61082","260388","MWCU6947110","40WC","MTY","MTY COD","MSK","ALR","MVD","4.7","MSK","","","","","","","","","",""
"83","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","61084","260490","MSWU9045867","40WC","MTY","MTY COD","MSK","ALR","MVD","4.6","MSK","","","","","","","","","",""
"84","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60084","260890","MWCU6936395","40WC","MTY","MTY COD","MSK","ALR","MVD","4.7","MSK","","","","","","","","","",""
"85","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","60086","420186","MSWU9045091","40WC","MTY","MTY COD","MSK","ALR","MVD","4.6","MSK","","","","","","","","","",""
"86","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","140286","141286","MNBU3029378","40HR","MTY","MTY COD","MSK","ALR","MVD","4.4","MSK","","","","","","","","","",""
"87","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","140288","140888","MWCU6113308","40WC","MTY","MTY COD","MSK","ALR","MVD","4.3","MSK","","","","","","","","","",""
"88","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","140386","140388","MNBU3018814","40HR","MTY","MTY COD","MSK","ALR","MVD","4.4","MSK","","","","","","","","","",""
"89","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","140388","141288","MWCU6080610","40WC","MTY","MTY COD","MSK","ALR","MVD","4.3","MSK","","","","","","","","","",""
"90","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","140486","261286","MNBU3006304","40HR","MTY","MTY COD","MSK","ALR","MVD","4.4","MSK","","","","","","","","","",""
"91","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","140488","260990","MWCU6074670","40WC","MTY","MTY COD","MSK","ALR","MVD","4.3","MSK","","","","","","","","","",""
"92","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","140586","261188","MWMU6315783","40WC","MTY","MTY COD","MSK","ALR","MVD","4.3","MSK","","","","","","","","","",""
"93","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","140588","260690","MWCU6067239","40WC","MTY","MTY COD","MSK","ALR","MVD","4.3","MSK","","","","","","","","","",""
"94","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","140686","260790","MWMU6314956","40WC","MTY","MTY COD","MSK","ALR","MVD","4.3","MSK","","","","","","","","","",""
"95","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","140688","260988","MNBU3120580","40HR","MTY","MTY COD","MSK","ALR","MVD","4.3","MSK","","","","","","","","","",""
"96","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","140786","261190","MWMU6311520","40WC","MTY","MTY COD","MSK","ALR","MVD","4.3","MSK","","","","","","","","","",""
"97","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","140788","61188","MAEU5824010","40HR","MTY","MTY COD","MSK","ALR","MVD","4.3","MSK","","","","","","","","","",""
"98","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","140886","141186","MWCU6292707","40WC","MTY","MTY COD","MSK","ALR","MVD","4.3","MSK","","","","","","","","","",""
"99","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","140888","420286","MAEU5789476","40HR","MTY","MTY COD","MSK","ALR","MVD","4.3","MSK","","","","","","","","","",""
"100","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","140986","260588","MWCU6216076","40WC","MTY","MTY COD","MSK","ALR","MVD","4.3","MSK","","","","","","","","","",""
"101","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","141084","260590","MNBU0005840","40WC","MTY","MTY COD","MSK","ALR","MVD","4.4","MSK","","","","","","","","","",""
"102","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","141086","261088","MWCU6185416","40WC","MTY","MTY COD","MSK","ALR","MVD","4.3","MSK","","","","","","","","","",""
"103","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","141184","260390","MNBU3139170","40HR","MTY","MTY COD","MSK","ALR","MVD","4.4","MSK","","","","","","","","","",""
"104","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","141284","261290","MNBU3127477","40HR","MTY","MTY COD","MSK","ALR","MVD","4.4","MSK","","","","","","","","","",""
"105","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","140086","141282","MNBU3044351","40HR","MTY","MTY COD","MSK","ALR","MVD","4.4","MSK","","","","","","","","","",""
"106","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","140088","420586","MWCU6164223","40WC","MTY","MTY COD","MSK","ALR","MVD","4.3","MSK","","","","","","","","","",""
"107","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","260388","261186","MSWU0041773","40WC","MTY","MTY COD","MSK","ALR","MVD","4.4","MSK","","","","","","","","","",""
"108","469 MAERSK BUTON","101 SAMBA","ZWQ","1204","RRB003","11","260488","261282","MNBU0025091","40WC","MTY","MTY COD","MSK","ALR","MVD","4.4","MSK","","","","","","","","","",""
"109","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","100186","100182","MSWU9067423","40WC","FCL","STO LUD","MSK","MVD","ROT","27.5","MSK","WCR"," -1.0°C","","","","","","","",""
"110","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","100286","100082","MMAU1123067","40HR","FCL","STO LUD","MSK","MVD","ROT","27.1","MSK","ACQ"," -1.0°C","","","","","","","",""
"111","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","300484","100282","PONU4968897","40HR","FCL","STO LUD","MSK","MVD","ROT","24.5","MSK","ACQ"," -1.0°C","","","","","","","",""
"112","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340186","140188","PONU7992217","40HC","FCL","STO LSH","MSK","RGR","ALR","18.9","SCL","","","","","","","","","",""
"113","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340286","260488","MSKU1688439","40HC","FCL","STO LSH","MSK","RGR","ALR","24.9","SCL","","","","","","","","","",""
"114","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340086","140288","MRKU2043366","40HC","FCL","STO LSH","MSK","RGR","ALR","24.9","SCL","","","","","","","","","",""
"115","760 SAFMARINE BAYETTE","101 SAMBA","ZWQ","1204","RRB003","11","340084","220586","MNBU3019528","40HR","FCL","STO DCH","MSK","RGR","ROT","26.8","MSK","","  0.0°C","","","","","","","",""
"116","742 MAERSK BATAM","101 SAMBA","ZWQ","1203","RRB003","11","10982","130988","MRKU8097170","20DC","MTY","STO LSH","MSK","ANT","BUE","12.7","MSK","","","","","","","","","",""
"117","742 MAERSK BATAM","101 SAMBA","ZWQ","1203","RRB003","11","100382","501294","MWSU9106480","40WC","MTY","STO LSH","MSK","ALR","MVD","4.7","MSK","","","","","","","","","",""
"118","742 MAERSK BATAM","101 SAMBA","ZWQ","1203","RRB003","11","100482","501194","MNBU3068950","40HR","MTY","STO LSH","MSK","ALR","MVD","4.4","MSK","","","","","","","","","",""
"119","742 MAERSK BATAM","101 SAMBA","ZWQ","1203","RRB003","11","141088","340190","MWSU9001704","40WC","MTY","STO LSH","MSK","ALR","PRU","4.6","MSK","","","","","","","","","",""
"120","742 MAERSK BATAM","101 SAMBA","ZWQ","1203","RRB003","11","340382","340290","MNBU3191223","40HR","MTY","STO LSH","MSK","ALR","PRU","4.4","MSK","","","","","","","","","",""
"121","742 MAERSK BATAM","101 SAMBA","ZWQ","1203","RRB003","11","340384","421194","MNBU3019235","40HR","MTY","STO LSH","MSK","ALR","PRU","4.4","MSK","","","","","","","","","",""
"122","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"123","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"124","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"125","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"126","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"127","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"128","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"129","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"132","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"133","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"134","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"135","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"136","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"137","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"138","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"139","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"140","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"141","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"142","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"143","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"144","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"146","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"147","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"148","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"149","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"150","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"151","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"152","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"153","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"154","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"155","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"156","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"157","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"158","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"159","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"160","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"161","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"162","","","","","","","","","","","","","","","","","","","","","","","","","","",""
